parameter,target,value
intercept,SPY,0.07017803
lag1_SPY,SPY,-0.60804746
lag1_QQQ,SPY,0.19136292
lag1_DIA,SPY,0.27348349
lag1_IWN,SPY,0.08626916
lag2_SPY,SPY,0.47407417
lag2_QQQ,SPY,-0.16325661
lag2_DIA,SPY,-0.21382258
lag2_IWN,SPY,-0.04666165
intercept,QQQ,0.07119859
lag1_SPY,QQQ,-0.59756460
lag1_QQQ,QQQ,0.15700573
lag1_DIA,QQQ,0.34509561
lag1_IWN,QQQ,0.06527906
lag2_SPY,QQQ,0.57317432
lag2_QQQ,QQQ,-0.17519029
lag2_DIA,QQQ,-0.27319150
lag2_IWN,QQQ,-0.07132708
intercept,DIA,0.04586552
lag1_SPY,DIA,-0.34678538
lag1_QQQ,DIA,0.08284799
lag1_DIA,DIA,0.15559113
lag1_IWN,DIA,0.09797377
lag2_SPY,DIA,0.51401155
lag2_QQQ,DIA,-0.20806053
lag2_DIA,DIA,-0.20711318
lag2_IWN,DIA,-0.03393108
intercept,IWN,0.06517169
lag1_SPY,IWN,-0.46730454
lag1_QQQ,IWN,0.07395121
lag1_DIA,IWN,0.20134002
lag1_IWN,IWN,0.11864077
lag2_SPY,IWN,0.73296891
lag2_QQQ,IWN,-0.31855121
lag2_DIA,IWN,-0.31358593
lag2_IWN,IWN,-0.06321544
sigma_SPY,SPY,1.02045707
sigma_QQQ,SPY,1.25655595
sigma_DIA,SPY,0.80475758
sigma_IWN,SPY,0.97758305
sigma_SPY,QQQ,1.25655595
sigma_QQQ,QQQ,1.68372829
sigma_DIA,QQQ,0.88789607
sigma_IWN,QQQ,1.06881586
sigma_SPY,DIA,0.80475758
sigma_QQQ,DIA,0.88789607
sigma_DIA,DIA,0.80615743
sigma_IWN,DIA,0.94866863
sigma_SPY,IWN,0.97758305
sigma_QQQ,IWN,1.06881586
sigma_DIA,IWN,0.94866863
sigma_IWN,IWN,1.65569373
