parameter,target,value,nu
intercept,SPY,0.09929322,5.00000000
lag1_SPY,SPY,-0.31997409,5.00000000
lag1_QQQ,SPY,0.08373454,5.00000000
lag1_DIA,SPY,0.08760373,5.00000000
lag1_IWN,SPY,0.07695916,5.00000000
lag2_SPY,SPY,0.32051885,5.00000000
lag2_QQQ,SPY,-0.06947769,5.00000000
lag2_DIA,SPY,-0.10462315,5.00000000
lag2_IWN,SPY,-0.05495833,5.00000000
intercept,QQQ,0.11931085,5.00000000
lag1_SPY,QQQ,-0.21815307,5.00000000
lag1_QQQ,QQQ,-0.01728113,5.00000000
lag1_DIA,QQQ,0.10137500,5.00000000
lag1_IWN,QQQ,0.09072780,5.00000000
lag2_SPY,QQQ,0.41123336,5.00000000
lag2_QQQ,QQQ,-0.08663819,5.00000000
lag2_DIA,QQQ,-0.12643623,5.00000000
lag2_IWN,QQQ,-0.09200905,5.00000000
intercept,DIA,0.06409332,5.00000000
lag1_SPY,DIA,-0.15886580,5.00000000
lag1_QQQ,DIA,0.04601446,5.00000000
lag1_DIA,DIA,-0.02225978,5.00000000
lag1_IWN,DIA,0.06161004,5.00000000
lag2_SPY,DIA,0.40825135,5.00000000
lag2_QQQ,DIA,-0.10563454,5.00000000
lag2_DIA,DIA,-0.19839229,5.00000000
lag2_IWN,DIA,-0.02311936,5.00000000
intercept,IWN,0.06574673,5.00000000
lag1_SPY,IWN,-0.11072537,5.00000000
lag1_QQQ,IWN,-0.02236877,5.00000000
lag1_DIA,IWN,-0.09091390,5.00000000
lag1_IWN,IWN,0.09405171,5.00000000
lag2_SPY,IWN,0.33068323,5.00000000
lag2_QQQ,IWN,-0.04212026,5.00000000
lag2_DIA,IWN,-0.14810711,5.00000000
lag2_IWN,IWN,-0.09646070,5.00000000
sigma_SPY,SPY,0.51964962,5.00000000
sigma_QQQ,SPY,0.66713681,5.00000000
sigma_DIA,SPY,0.41558342,5.00000000
sigma_IWN,SPY,0.54076476,5.00000000
sigma_SPY,QQQ,0.66713681,5.00000000
sigma_QQQ,QQQ,0.94726698,5.00000000
sigma_DIA,QQQ,0.46307738,5.00000000
sigma_IWN,QQQ,0.59832457,5.00000000
sigma_SPY,DIA,0.41558342,5.00000000
sigma_QQQ,DIA,0.46307738,5.00000000
sigma_DIA,DIA,0.44589074,5.00000000
sigma_IWN,DIA,0.54832086,5.00000000
sigma_SPY,IWN,0.54076476,5.00000000
sigma_QQQ,IWN,0.59832457,5.00000000
sigma_DIA,IWN,0.54832086,5.00000000
sigma_IWN,IWN,1.01869285,5.00000000
