dataset,model,p,phi_1,phi_2,phi_3,phi_4,phi_5
DIA,gaussian,1,-0.08203886,,,,
DIA,student_t,1,-0.04286442,,,,
DIA,gaussian_mixture,1,-0.08203886,,,,
DIA,gaussian,2,-0.08203491,-0.00003275,,,
DIA,student_t,2,-0.04288467,-0.00134602,,,
DIA,gaussian_mixture,2,-0.08203491,-0.00003275,,,
DIA,gaussian,3,-0.08202917,0.00052557,0.00705038,,
DIA,student_t,3,-0.04270569,-0.00116640,0.01056234,,
DIA,gaussian_mixture,3,-0.08202917,0.00052557,0.00705038,,
DIA,gaussian,4,-0.08186825,0.00053640,0.00524589,-0.02207151,
DIA,student_t,4,-0.04284650,-0.00122840,0.01030061,-0.00562088,
DIA,gaussian_mixture,4,-0.08186825,0.00053640,0.00524589,-0.02207151,
DIA,gaussian,5,-0.08221587,0.00061406,0.00525630,-0.02336985,-0.01577816
DIA,student_t,5,-0.04310538,-0.00224651,0.01056268,-0.00666932,-0.02281578
DIA,gaussian_mixture,5,-0.08221587,0.00061406,0.00525630,-0.02336985,-0.01577816
IWN,gaussian,1,-0.04477816,,,,
IWN,student_t,1,-0.01367640,,,,
IWN,gaussian_mixture,1,-0.04477816,,,,
IWN,gaussian,2,-0.04420562,0.01367134,,,
IWN,student_t,2,-0.01382019,-0.00211937,,,
IWN,gaussian_mixture,2,-0.04420562,0.01367134,,,
IWN,gaussian,3,-0.04425168,0.01398922,0.00608152,,
IWN,student_t,3,-0.01353806,-0.00187102,0.00931217,,
IWN,gaussian_mixture,3,-0.04425168,0.01398922,0.00608152,,
IWN,gaussian,4,-0.04411478,0.01420995,0.00527085,-0.01755368,
IWN,student_t,4,-0.01344492,-0.00187833,0.00915711,-0.00566303,
IWN,gaussian_mixture,4,-0.04411478,0.01420995,0.00527085,-0.01755368,
IWN,gaussian,5,-0.04419469,0.01422390,0.00535318,-0.01776235,-0.00507472
IWN,student_t,5,-0.01349952,-0.00191496,0.00913709,-0.00575008,-0.00783259
IWN,gaussian_mixture,5,-0.04419469,0.01422390,0.00535318,-0.01776235,-0.00507472
QQQ,gaussian,1,-0.05422345,,,,
QQQ,student_t,1,-0.01861938,,,,
QQQ,gaussian_mixture,1,-0.05422345,,,,
QQQ,gaussian,2,-0.05636990,-0.04586992,,,
QQQ,student_t,2,-0.01804452,-0.01519777,,,
QQQ,gaussian_mixture,2,-0.05636990,-0.04586992,,,
QQQ,gaussian,3,-0.05715855,-0.04658501,-0.01448438,,
QQQ,student_t,3,-0.01840596,-0.01501761,-0.00327066,,
QQQ,gaussian_mixture,3,-0.05715855,-0.04658501,-0.01448438,,
QQQ,gaussian,4,-0.05722664,-0.04680869,-0.01492734,-0.00654129,
QQQ,student_t,4,-0.01835148,-0.01482399,-0.00353952,-0.00111788,
QQQ,gaussian_mixture,4,-0.05722664,-0.04680869,-0.01492734,-0.00654129,
QQQ,gaussian,5,-0.05724110,-0.04705809,-0.01571876,-0.00694716,-0.01103823
QQQ,student_t,5,-0.01823748,-0.01498062,-0.00398352,-0.00082417,-0.00067962
QQQ,gaussian_mixture,5,-0.05724110,-0.04705809,-0.01571876,-0.00694716,-0.01103823
SPY,gaussian,1,-0.10990558,,,,
SPY,student_t,1,-0.03831025,,,,
SPY,gaussian_mixture,1,-0.10990558,,,,
SPY,gaussian,2,-0.11274226,-0.02579322,,,
SPY,student_t,2,-0.03910212,-0.01072262,,,
SPY,gaussian_mixture,2,-0.11274226,-0.02579322,,,
SPY,gaussian,3,-0.11305665,-0.02717013,-0.01217010,,
SPY,student_t,3,-0.03922095,-0.01130962,-0.00784787,,
SPY,gaussian_mixture,3,-0.11305665,-0.02717013,-0.01217010,,
SPY,gaussian,4,-0.11340843,-0.02795369,-0.01543285,-0.02882225,
SPY,student_t,4,-0.03974791,-0.01172426,-0.00929182,-0.01258868,
SPY,gaussian_mixture,4,-0.11340843,-0.02795369,-0.01543285,-0.02882225,
SPY,gaussian,5,-0.11392032,-0.02822715,-0.01592790,-0.03083515,-0.01770315
SPY,student_t,5,-0.03996398,-0.01271312,-0.00944139,-0.01390170,-0.01871004
SPY,gaussian_mixture,5,-0.11392032,-0.02822715,-0.01592790,-0.03083515,-0.01770315
