dataset,model,p,phi_1,phi_2,phi_3,phi_4,phi_5
DIA,gaussian,1,-0.08203886,,,,
DIA,gaussian,2,-0.08203491,-0.00003275,,,
DIA,gaussian,3,-0.08202917,0.00052557,0.00705038,,
DIA,gaussian,4,-0.08186825,0.00053640,0.00524589,-0.02207151,
DIA,gaussian,5,-0.08221587,0.00061406,0.00525630,-0.02336985,-0.01577816
IWN,gaussian,1,-0.04477816,,,,
IWN,gaussian,2,-0.04420562,0.01367134,,,
IWN,gaussian,3,-0.04425168,0.01398922,0.00608152,,
IWN,gaussian,4,-0.04411478,0.01420995,0.00527085,-0.01755368,
IWN,gaussian,5,-0.04419469,0.01422390,0.00535318,-0.01776235,-0.00507472
QQQ,gaussian,1,-0.05422345,,,,
QQQ,gaussian,2,-0.05636990,-0.04586992,,,
QQQ,gaussian,3,-0.05715855,-0.04658501,-0.01448438,,
QQQ,gaussian,4,-0.05722664,-0.04680869,-0.01492734,-0.00654129,
QQQ,gaussian,5,-0.05724110,-0.04705809,-0.01571876,-0.00694716,-0.01103823
SPY,gaussian,1,-0.10990558,,,,
SPY,gaussian,2,-0.11274226,-0.02579322,,,
SPY,gaussian,3,-0.11305665,-0.02717013,-0.01217010,,
SPY,gaussian,4,-0.11340843,-0.02795369,-0.01543285,-0.02882225,
SPY,gaussian,5,-0.11392032,-0.02822715,-0.01592790,-0.03083515,-0.01770315
