dataset,p,component_1,component_2
DIA,2,0.06401015,0.93598985
DIA,2,0.05674556,0.94325444
DIA,2,0.05679893,0.94320107
DIA,2,0.05662985,0.94337015
DIA,2,0.05643802,0.94356198
DIA,2,0.18222775,0.81777225
DIA,2,0.08288477,0.91711523
DIA,2,0.05609811,0.94390189
DIA,2,0.05618905,0.94381095
DIA,2,0.16307337,0.83692663
DIA,2,0.06463480,0.93536520
DIA,2,0.05637058,0.94362942
DIA,2,0.05679352,0.94320648
DIA,2,0.05816968,0.94183032
DIA,2,0.05609828,0.94390172
DIA,2,0.06086050,0.93913950
DIA,2,0.08171474,0.91828526
DIA,2,0.05892063,0.94107937
DIA,2,0.05674132,0.94325868
DIA,2,0.07465197,0.92534803
DIA,2,0.29160614,0.70839386
DIA,2,0.06177665,0.93822335
DIA,2,0.05610050,0.94389950
DIA,2,0.05621384,0.94378616
DIA,2,0.05632594,0.94367406
DIA,2,0.05717637,0.94282363
DIA,2,0.06337182,0.93662818
DIA,2,0.05687879,0.94312121
DIA,2,0.08267777,0.91732223
DIA,2,0.05646207,0.94353793
DIA,2,0.09761621,0.90238379
DIA,2,0.05774617,0.94225383
DIA,2,0.05889185,0.94110815
DIA,2,0.08910018,0.91089982
DIA,2,0.05941269,0.94058731
DIA,2,0.07155936,0.92844064
DIA,2,0.06881439,0.93118561
DIA,2,0.06201497,0.93798503
DIA,2,0.06373707,0.93626293
DIA,2,0.05809343,0.94190657
DIA,2,0.05822300,0.94177700
DIA,2,0.09865032,0.90134968
DIA,2,0.06154963,0.93845037
DIA,2,0.05694086,0.94305914
DIA,2,0.19653211,0.80346789
DIA,2,0.05709388,0.94290612
DIA,2,0.07153125,0.92846875
DIA,2,0.05802881,0.94197119
DIA,2,0.08515249,0.91484751
DIA,2,0.05741170,0.94258830
DIA,2,0.05899844,0.94100156
DIA,2,0.05891195,0.94108805
DIA,2,0.05849453,0.94150547
DIA,2,0.05694817,0.94305183
DIA,2,0.17573903,0.82426097
DIA,2,0.07092305,0.92907695
DIA,2,0.05650000,0.94350000
DIA,2,0.05796305,0.94203695
DIA,2,0.06014968,0.93985032
DIA,2,0.06115654,0.93884346
DIA,2,0.05840993,0.94159007
DIA,2,0.09304860,0.90695140
