dataset,p,component_1,component_2
IWN,2,0.06880844,0.93119156
IWN,2,0.05484534,0.94515466
IWN,2,0.04652883,0.95347117
IWN,2,0.04455875,0.95544125
IWN,2,0.06513184,0.93486816
IWN,2,0.10382768,0.89617232
IWN,2,0.07103927,0.92896073
IWN,2,0.09228898,0.90771102
IWN,2,0.11722967,0.88277033
IWN,2,0.11532739,0.88467261
IWN,2,0.04814555,0.95185445
IWN,2,0.06050770,0.93949230
IWN,2,0.05422112,0.94577888
IWN,2,0.04476088,0.95523912
IWN,2,0.05770105,0.94229895
IWN,2,0.07587649,0.92412351
IWN,2,0.07110719,0.92889281
IWN,2,0.04463421,0.95536579
IWN,2,0.04669695,0.95330305
IWN,2,0.13519841,0.86480159
IWN,2,0.04461329,0.95538671
IWN,2,0.06416587,0.93583413
IWN,2,0.05527566,0.94472434
IWN,2,0.13604811,0.86395189
IWN,2,0.05872149,0.94127851
IWN,2,0.04482108,0.95517892
IWN,2,0.05042185,0.94957815
IWN,2,0.04585886,0.95414114
IWN,2,0.04469169,0.95530831
IWN,2,0.09178256,0.90821744
IWN,2,0.12885443,0.87114557
IWN,2,0.15944480,0.84055520
IWN,2,0.12869829,0.87130171
IWN,2,0.05251060,0.94748940
IWN,2,0.04750834,0.95249166
IWN,2,0.05010897,0.94989103
IWN,2,0.05603804,0.94396196
IWN,2,0.17994890,0.82005110
IWN,2,0.09365914,0.90634086
IWN,2,0.04455656,0.95544344
IWN,2,0.12394045,0.87605955
IWN,2,0.04677475,0.95322525
IWN,2,0.04670545,0.95329455
IWN,2,0.04471907,0.95528093
IWN,2,0.04456222,0.95543778
IWN,2,0.04985692,0.95014308
IWN,2,0.04977150,0.95022850
IWN,2,0.04560999,0.95439001
IWN,2,0.04893631,0.95106369
IWN,2,0.05436131,0.94563869
IWN,2,0.06216061,0.93783939
IWN,2,0.06479454,0.93520546
IWN,2,0.05332939,0.94667061
IWN,2,0.07047425,0.92952575
IWN,2,0.06705432,0.93294568
IWN,2,0.09489091,0.90510909
IWN,2,0.06009092,0.93990908
IWN,2,0.04552852,0.95447148
IWN,2,0.04604187,0.95395813
IWN,2,0.04806223,0.95193777
IWN,2,0.04455424,0.95544576
IWN,2,0.04938282,0.95061718
IWN,2,0.07716286,0.92283714
IWN,2,0.04804157,0.95195843
IWN,2,0.13318782,0.86681218
IWN,2,0.08222845,0.91777155
IWN,2,0.22173110,0.77826890
IWN,2,0.04937494,0.95062506
IWN,2,0.11402816,0.88597184
IWN,2,0.04952485,0.95047515
IWN,2,0.04791596,0.95208404
IWN,2,0.04476372,0.95523628
IWN,2,0.06433855,0.93566145
IWN,2,0.04501334,0.95498666
IWN,2,0.05432330,0.94567670
IWN,2,0.05583600,0.94416400
IWN,2,0.10408744,0.89591256
IWN,2,0.04505251,0.95494749
IWN,2,0.14387630,0.85612370
IWN,2,0.05172885,0.94827115
IWN,2,0.07245422,0.92754578
IWN,2,0.04683118,0.95316882
IWN,2,0.10077431,0.89922569
IWN,2,0.05247557,0.94752443
IWN,2,0.11126854,0.88873146
IWN,2,0.11811408,0.88188592
IWN,2,0.15483326,0.84516674
IWN,2,0.07665974,0.92334026
IWN,2,0.32731773,0.67268227
IWN,2,0.04561865,0.95438135
IWN,2,0.08479622,0.91520378
IWN,2,0.04600086,0.95399914
IWN,2,0.07968562,0.92031438
IWN,2,0.07570774,0.92429226
IWN,2,0.04817066,0.95182934
IWN,2,0.10775653,0.89224347
IWN,2,0.06878921,0.93121079
IWN,2,0.04614087,0.95385913
IWN,2,0.06154925,0.93845075
IWN,2,0.04468951,0.95531049
IWN,2,0.04473463,0.95526537
IWN,2,0.36504115,0.63495885
IWN,2,0.04509111,0.95490889
IWN,2,0.04625479,0.95374521
IWN,2,0.16276478,0.83723522
IWN,2,0.09497717,0.90502283
IWN,2,0.04978679,0.95021321
IWN,2,0.05454336,0.94545664
IWN,2,0.04575983,0.95424017
IWN,2,0.10606483,0.89393517
IWN,2,0.05097246,0.94902754
IWN,2,0.41185423,0.58814577
IWN,2,0.04532586,0.95467414
IWN,2,0.14221767,0.85778233
IWN,2,0.04546108,0.95453892
IWN,2,0.04898438,0.95101562
IWN,2,0.04770149,0.95229851
IWN,2,0.07965457,0.92034543
IWN,2,0.04731181,0.95268819
IWN,2,0.05713995,0.94286005
IWN,2,0.04602630,0.95397370
IWN,2,0.14044189,0.85955811
IWN,2,0.74386629,0.25613371
IWN,2,0.08564995,0.91435005
IWN,2,0.04455531,0.95544469
IWN,2,0.10537470,0.89462530
IWN,2,0.05888317,0.94111683
