dataset,p,component_1,component_2
QQQ,1,0.89500724,0.10499276
QQQ,1,0.20034025,0.79965975
QQQ,1,0.15622495,0.84377505
QQQ,1,0.51099880,0.48900120
QQQ,1,0.82168661,0.17831339
QQQ,1,0.29039461,0.70960539
QQQ,1,0.99609851,0.00390149
QQQ,1,0.97346465,0.02653535
QQQ,1,0.99762357,0.00237643
QQQ,1,0.18185135,0.81814865
QQQ,1,0.99290069,0.00709931
QQQ,1,0.14184573,0.85815427
QQQ,1,0.34230835,0.65769165
QQQ,1,0.56595651,0.43404349
QQQ,1,0.99633154,0.00366846
QQQ,1,0.13464196,0.86535804
QQQ,1,0.20678219,0.79321781
QQQ,1,0.16222804,0.83777196
QQQ,1,0.15448805,0.84551195
QQQ,1,0.15253361,0.84746639
QQQ,1,0.30024600,0.69975400
QQQ,1,0.99444324,0.00555676
QQQ,1,0.23388060,0.76611940
QQQ,1,0.93963675,0.06036325
QQQ,1,0.99999325,0.00000675
QQQ,1,0.56702912,0.43297088
QQQ,1,0.99999222,0.00000778
QQQ,1,0.94673397,0.05326603
QQQ,1,0.31888748,0.68111252
QQQ,1,0.75920961,0.24079039
QQQ,1,0.30762340,0.69237660
QQQ,1,0.99448259,0.00551741
QQQ,1,0.20135873,0.79864127
QQQ,1,0.14867142,0.85132858
QQQ,1,0.14054719,0.85945281
QQQ,1,0.38466141,0.61533859
QQQ,1,0.94152791,0.05847209
QQQ,1,0.99390883,0.00609117
QQQ,1,0.24942214,0.75057786
QQQ,1,0.21498020,0.78501980
QQQ,1,0.38380627,0.61619373
QQQ,1,0.64871017,0.35128983
QQQ,1,0.45149901,0.54850099
QQQ,1,0.58314450,0.41685550
QQQ,1,0.41097183,0.58902817
QQQ,1,0.13274541,0.86725459
QQQ,1,0.28530542,0.71469458
QQQ,1,0.89912654,0.10087346
QQQ,1,0.21529441,0.78470559
QQQ,1,0.87288200,0.12711800
QQQ,1,0.99198163,0.00801837
QQQ,1,0.85435551,0.14564449
QQQ,1,0.12525341,0.87474659
QQQ,1,0.38858132,0.61141868
QQQ,1,0.66196347,0.33803653
QQQ,1,0.35641821,0.64358179
QQQ,1,0.28106720,0.71893280
QQQ,1,0.94847823,0.05152177
QQQ,1,0.69652864,0.30347136
QQQ,1,0.79526674,0.20473326
QQQ,1,0.34414521,0.65585479
QQQ,1,0.21232831,0.78767169
QQQ,1,0.37171595,0.62828405
QQQ,1,0.56771314,0.43228686
QQQ,1,0.29343176,0.70656824
QQQ,1,0.99999664,0.00000336
QQQ,1,0.29284675,0.70715325
QQQ,1,0.14227871,0.85772129
QQQ,1,0.95365155,0.04634845
QQQ,1,0.94211128,0.05788872
QQQ,1,0.30002726,0.69997274
QQQ,1,0.53211724,0.46788276
QQQ,1,0.12852891,0.87147109
QQQ,1,0.75427356,0.24572644
QQQ,1,0.33081336,0.66918664
QQQ,1,0.37753009,0.62246991
QQQ,1,0.16488392,0.83511608
QQQ,1,0.26825993,0.73174007
QQQ,1,0.14659514,0.85340486
QQQ,1,0.12601245,0.87398755
QQQ,1,0.28054309,0.71945691
QQQ,1,0.21354955,0.78645045
QQQ,1,0.13923914,0.86076086
QQQ,1,0.14134603,0.85865397
QQQ,1,0.40226548,0.59773452
QQQ,1,0.20194076,0.79805924
QQQ,1,0.19524749,0.80475251
QQQ,1,0.19579555,0.80420445
QQQ,1,0.99909154,0.00090846
QQQ,1,0.12950837,0.87049163
QQQ,1,0.84666124,0.15333876
