dataset,p,component_1,component_2
SPY,4,0.06906389,0.93093611
SPY,4,0.06849001,0.93150999
SPY,4,0.06833094,0.93166906
SPY,4,0.17435747,0.82564253
SPY,4,0.10199880,0.89800120
SPY,4,0.06895172,0.93104828
SPY,4,0.06838825,0.93161175
SPY,4,0.08285074,0.91714926
SPY,4,0.07696629,0.92303371
SPY,4,0.07109705,0.92890295
SPY,4,0.06913952,0.93086048
SPY,4,0.07207426,0.92792574
SPY,4,0.06880933,0.93119067
SPY,4,0.07789158,0.92210842
SPY,4,0.07514553,0.92485447
SPY,4,0.07460845,0.92539155
SPY,4,0.06818279,0.93181721
SPY,4,0.08850425,0.91149575
SPY,4,0.27649272,0.72350728
SPY,4,0.08818880,0.91181120
SPY,4,0.07103693,0.92896307
SPY,4,0.06838400,0.93161600
SPY,4,0.06829228,0.93170772
SPY,4,0.06910773,0.93089227
SPY,4,0.06833917,0.93166083
SPY,4,0.06902387,0.93097613
SPY,4,0.08469860,0.91530140
SPY,4,0.06831269,0.93168731
SPY,4,0.07588032,0.92411968
SPY,4,0.06832226,0.93167774
SPY,4,0.10041157,0.89958843
SPY,4,0.07097955,0.92902045
SPY,4,0.07189951,0.92810049
SPY,4,0.10200539,0.89799461
SPY,4,0.10464949,0.89535051
SPY,4,0.08612638,0.91387362
SPY,4,0.06854129,0.93145871
SPY,4,0.06816860,0.93183140
SPY,4,0.06849422,0.93150578
SPY,4,0.10353991,0.89646009
SPY,4,0.06954734,0.93045266
SPY,4,0.06817250,0.93182750
SPY,4,0.27723539,0.72276461
SPY,4,0.06827204,0.93172796
SPY,4,0.10300929,0.89699071
SPY,4,0.06865566,0.93134434
SPY,4,0.09137552,0.90862448
SPY,4,0.07524298,0.92475702
SPY,4,0.06817681,0.93182319
SPY,4,0.07132036,0.92867964
SPY,4,0.06836560,0.93163440
SPY,4,0.06840827,0.93159173
SPY,4,0.25332354,0.74667646
SPY,4,0.08474654,0.91525346
SPY,4,0.06854404,0.93145596
SPY,4,0.06817654,0.93182346
SPY,4,0.06933813,0.93066187
SPY,4,0.07686112,0.92313888
SPY,4,0.06991773,0.93008227
SPY,4,0.09343788,0.90656212
SPY,4,0.06839897,0.93160103
SPY,4,0.07580938,0.92419062
SPY,4,0.06823971,0.93176029
SPY,4,0.07046661,0.92953339
SPY,4,0.07301415,0.92698585
SPY,4,0.07308427,0.92691573
SPY,4,0.08647610,0.91352390
SPY,4,0.08245266,0.91754734
SPY,4,0.07604711,0.92395289
SPY,4,0.06906482,0.93093518
SPY,4,0.06919053,0.93080947
SPY,4,0.08063993,0.91936007
SPY,4,0.18200835,0.81799165
SPY,4,0.06897411,0.93102589
SPY,4,0.06876864,0.93123136
SPY,4,0.07233854,0.92766146
SPY,4,0.07007218,0.92992782
SPY,4,0.07143239,0.92856761
SPY,4,0.07001518,0.92998482
SPY,4,0.25390694,0.74609306
SPY,4,0.06871234,0.93128766
SPY,4,0.06853791,0.93146209
SPY,4,0.09826701,0.90173299
SPY,4,0.06824290,0.93175710
SPY,4,0.06889529,0.93110471
SPY,4,0.07222797,0.92777203
SPY,4,0.06875326,0.93124674
SPY,4,0.08068356,0.91931644
SPY,4,0.06886350,0.93113650
SPY,4,0.07439631,0.92560369
SPY,4,0.29299537,0.70700463
SPY,4,0.06870612,0.93129388
SPY,4,0.14986100,0.85013900
SPY,4,0.14010679,0.85989321
SPY,4,0.06823616,0.93176384
SPY,4,0.06879801,0.93120199
SPY,4,0.15683174,0.84316826
SPY,4,0.06889654,0.93110346
SPY,4,0.62756881,0.37243119
SPY,4,0.06826289,0.93173711
SPY,4,0.06854164,0.93145836
SPY,4,0.09186958,0.90813042
SPY,4,0.06833188,0.93166812
SPY,4,0.08338349,0.91661651
SPY,4,0.07200965,0.92799035
SPY,4,0.09005981,0.90994019
SPY,4,0.08011704,0.91988296
SPY,4,0.15886436,0.84113564
SPY,4,0.06820881,0.93179119
SPY,4,0.07904037,0.92095963
SPY,4,0.07046794,0.92953206
SPY,4,0.16419302,0.83580698
SPY,4,0.06904176,0.93095824
SPY,4,0.06826248,0.93173752
SPY,4,0.21527157,0.78472843
SPY,4,0.06819274,0.93180726
SPY,4,0.18178791,0.81821209
SPY,4,0.07356255,0.92643745
SPY,4,0.08105555,0.91894445
SPY,4,0.06908703,0.93091297
SPY,4,0.06863048,0.93136952
SPY,4,0.07471462,0.92528538
SPY,4,0.07722277,0.92277723
SPY,4,0.22335021,0.77664979
SPY,4,0.08874510,0.91125490
SPY,4,0.06937983,0.93062017
SPY,4,0.07807376,0.92192624
SPY,4,0.18868866,0.81131134
SPY,4,0.06857348,0.93142652
SPY,4,0.06839849,0.93160151
SPY,4,0.08402339,0.91597661
SPY,4,0.10274212,0.89725788
SPY,4,0.17799177,0.82200823
SPY,4,0.07055542,0.92944458
SPY,4,0.06861032,0.93138968
SPY,4,0.09417159,0.90582841
SPY,4,0.10721342,0.89278658
SPY,4,0.06825444,0.93174556
SPY,4,0.11368021,0.88631979
SPY,4,0.08220016,0.91779984
SPY,4,0.07202959,0.92797041
SPY,4,0.07042870,0.92957130
SPY,4,0.07073637,0.92926363
SPY,4,0.06853857,0.93146143
SPY,4,0.06853866,0.93146134
SPY,4,0.07090938,0.92909062
SPY,4,0.06819007,0.93180993
SPY,4,0.06820500,0.93179500
SPY,4,0.07038740,0.92961260
SPY,4,0.08616069,0.91383931
SPY,4,0.10994878,0.89005122
SPY,4,0.06880933,0.93119067
SPY,4,0.07142339,0.92857661
SPY,4,0.06909797,0.93090203
SPY,4,0.06886029,0.93113971
SPY,4,0.07158213,0.92841787
SPY,4,0.06966237,0.93033763
SPY,4,0.07490253,0.92509747
SPY,4,0.06839956,0.93160044
SPY,4,0.08567764,0.91432236
SPY,4,0.07289740,0.92710260
SPY,4,0.07043346,0.92956654
SPY,4,0.07156475,0.92843525
SPY,4,0.06902903,0.93097097
SPY,4,0.07885521,0.92114479
SPY,4,0.13545839,0.86454161
