dataset,model,p,phi_1,phi_2,phi_3,phi_4,phi_5
DIA,student_t,1,-0.04286442,,,,
DIA,student_t,2,-0.04288467,-0.00134602,,,
DIA,student_t,3,-0.04270569,-0.00116640,0.01056234,,
DIA,student_t,4,-0.04284650,-0.00122840,0.01030061,-0.00562088,
DIA,student_t,5,-0.04310538,-0.00224651,0.01056268,-0.00666932,-0.02281578
IWN,student_t,1,-0.01367640,,,,
IWN,student_t,2,-0.01382019,-0.00211937,,,
IWN,student_t,3,-0.01353806,-0.00187102,0.00931217,,
IWN,student_t,4,-0.01344492,-0.00187833,0.00915711,-0.00566303,
IWN,student_t,5,-0.01349952,-0.00191496,0.00913709,-0.00575008,-0.00783259
QQQ,student_t,1,-0.01861938,,,,
QQQ,student_t,2,-0.01804452,-0.01519777,,,
QQQ,student_t,3,-0.01840596,-0.01501761,-0.00327066,,
QQQ,student_t,4,-0.01835148,-0.01482399,-0.00353952,-0.00111788,
QQQ,student_t,5,-0.01823748,-0.01498062,-0.00398352,-0.00082417,-0.00067962
SPY,student_t,1,-0.03831025,,,,
SPY,student_t,2,-0.03910212,-0.01072262,,,
SPY,student_t,3,-0.03922095,-0.01130962,-0.00784787,,
SPY,student_t,4,-0.03974791,-0.01172426,-0.00929182,-0.01258868,
SPY,student_t,5,-0.03996398,-0.01271312,-0.00944139,-0.01390170,-0.01871004
