dataset,model,p,log_likelihood,aic,bic,n_obs,nu
DIA,gaussian,1,-12014.27699084,24032.55398169,24046.47466042,7788,
DIA,student_t,1,-11042.43402309,22088.86804618,22102.78872491,7788,5.00000000
DIA,gaussian_mixture,1,-11081.01133493,22170.02266987,22197.86402733,7788,
DIA,gaussian,2,-12013.22730714,24032.45461429,24053.33524716,7787,
DIA,student_t,2,-11041.68112354,22089.36224709,22110.24287995,7787,5.00000000
DIA,gaussian_mixture,2,-11080.26597554,22170.53195107,22205.33300585,7787,
DIA,gaussian,3,-12011.92445670,24031.84891341,24059.68924352,7786,
DIA,student_t,3,-11040.34465187,22088.68930374,22116.52963385,7786,5.00000000
DIA,gaussian_mixture,3,-11078.73278735,22169.46557470,22211.22606987,7786,
DIA,gaussian,4,-12008.97883249,24027.95766497,24062.75743540,7785,
DIA,student_t,4,-11039.46678834,22088.93357668,22123.73334710,7785,5.00000000
DIA,gaussian_mixture,4,-11077.05657383,22168.11314765,22216.83282624,7785,
DIA,gaussian,5,-12006.95988024,24025.91976048,24067.67871423,7784,
DIA,student_t,5,-11036.68520658,22085.37041316,22127.12936691,7784,5.00000000
DIA,gaussian_mixture,5,-11074.44341458,22164.88682915,22220.56543414,7784,
IWN,gaussian,1,-13039.55303160,26083.10606320,26096.52697257,6066,
IWN,student_t,1,-10517.73325860,21039.46651719,21052.88742657,6066,5.00000000
IWN,gaussian_mixture,1,-10518.63660436,21045.27320871,21072.11502747,6066,
IWN,gaussian,2,-13037.24275325,26080.48550650,26100.61637597,6065,
IWN,student_t,2,-10516.29104383,21038.58208766,21058.71295713,6065,5.00000000
IWN,gaussian_mixture,2,-10519.64964036,21049.29928072,21082.85072983,6065,
IWN,gaussian,3,-13035.34596422,26078.69192845,26105.53242816,6064,
IWN,student_t,3,-10513.92518694,21035.85037387,21062.69087358,6064,5.00000000
IWN,gaussian_mixture,3,-10517.36356614,21046.72713228,21086.98788184,6064,
IWN,gaussian,4,-13032.69912443,26075.39824885,26108.94804888,6063,
IWN,student_t,4,-10512.34263535,21034.68527071,21068.23507074,6063,5.00000000
IWN,gaussian_mixture,4,-10517.26027482,21048.52054963,21095.49026967,6063,
IWN,gaussian,5,-13030.95940502,26073.91881004,26114.17758039,6062,
IWN,student_t,5,-10510.87121928,21033.74243857,21074.00120892,6062,5.00000000
IWN,gaussian_mixture,5,-10516.09511731,21048.19023462,21101.86859508,6062,
QQQ,gaussian,1,-13188.43225453,26380.86450906,26394.50679353,6776,
QQQ,student_t,1,-12459.69233226,24923.38466451,24937.02694898,6776,5.00000000
QQQ,gaussian_mixture,1,-12409.33029670,24826.66059340,24853.94516234,6776,
QQQ,gaussian,2,-13178.57899924,26363.15799848,26383.62098241,6775,
QQQ,student_t,2,-12455.53524942,24917.07049884,24937.53348277,6775,5.00000000
QQQ,gaussian_mixture,2,-12408.00984331,24826.01968662,24860.12465985,6775,
QQQ,gaussian,3,-13176.28356662,26360.56713324,26387.85052138,6774,
QQQ,student_t,3,-12454.06045123,24916.12090247,24943.40429060,6774,5.00000000
QQQ,gaussian_mixture,3,-12407.70770113,24827.41540227,24868.34048447,6774,
QQQ,gaussian,4,-13174.63461422,26359.26922844,26393.37272544,6773,
QQQ,student_t,4,-12452.73079897,24915.46159793,24949.56509493,6773,5.00000000
QQQ,gaussian_mixture,4,-12406.23112634,24826.46225268,24874.20714848,6773,
QQQ,gaussian,5,-13172.11574224,26356.23148447,26397.15479493,6772,
QQQ,student_t,5,-12450.31269257,24912.62538514,24953.54869560,6772,5.00000000
QQQ,gaussian_mixture,5,-12403.62003396,24823.24006793,24877.80448187,6772,
SPY,gaussian,1,-12772.86371153,25549.72742305,25563.66039061,7836,
SPY,student_t,1,-11607.06861238,23218.13722477,23232.07019233,7836,5.00000000
SPY,gaussian_mixture,1,-11682.65176320,23373.30352641,23401.16946153,7836,
SPY,gaussian,2,-12769.12561755,25544.25123510,25565.15030357,7835,
SPY,student_t,2,-11605.79596412,23217.59192824,23238.49099670,7835,5.00000000
SPY,gaussian_mixture,2,-11682.60799101,23375.21598201,23410.04776278,7835,
SPY,gaussian,3,-12767.41083934,25542.82167869,25570.68659275,7834,
SPY,student_t,3,-11604.73043332,23217.46086665,23245.32578070,7834,5.00000000
SPY,gaussian_mixture,3,-11682.25696908,23376.51393816,23418.31130925,7834,
SPY,gaussian,4,-12763.02260203,25536.04520405,25570.87570834,7833,
SPY,student_t,4,-11603.22835803,23216.45671605,23251.28722034,7833,5.00000000
SPY,gaussian_mixture,4,-11678.87604277,23371.75208555,23420.51479155,7833,
SPY,gaussian,5,-12760.65996641,25533.31993283,25575.11577193,7832,
SPY,student_t,5,-11600.93301947,23213.86603894,23255.66187804,7832,5.00000000
SPY,gaussian_mixture,5,-11677.14742415,23370.29484830,23426.02263377,7832,
