dataset,model,p,log_likelihood,aic,bic,n_obs,nu
DIA,gaussian,1,-12014.27699084,24032.55398169,24046.47466042,7788,
DIA,gaussian,2,-12013.22730714,24032.45461429,24053.33524716,7787,
DIA,gaussian,3,-12011.92445670,24031.84891341,24059.68924352,7786,
DIA,gaussian,4,-12008.97883249,24027.95766497,24062.75743540,7785,
DIA,gaussian,5,-12006.95988024,24025.91976048,24067.67871423,7784,
IWN,gaussian,1,-13039.55303160,26083.10606320,26096.52697257,6066,
IWN,gaussian,2,-13037.24275325,26080.48550650,26100.61637597,6065,
IWN,gaussian,3,-13035.34596422,26078.69192845,26105.53242816,6064,
IWN,gaussian,4,-13032.69912443,26075.39824885,26108.94804888,6063,
IWN,gaussian,5,-13030.95940502,26073.91881004,26114.17758039,6062,
QQQ,gaussian,1,-13188.43225453,26380.86450906,26394.50679353,6776,
QQQ,gaussian,2,-13178.57899924,26363.15799848,26383.62098241,6775,
QQQ,gaussian,3,-13176.28356662,26360.56713324,26387.85052138,6774,
QQQ,gaussian,4,-13174.63461422,26359.26922844,26393.37272544,6773,
QQQ,gaussian,5,-13172.11574224,26356.23148447,26397.15479493,6772,
SPY,gaussian,1,-12772.86371153,25549.72742305,25563.66039061,7836,
SPY,gaussian,2,-12769.12561755,25544.25123510,25565.15030357,7835,
SPY,gaussian,3,-12767.41083934,25542.82167869,25570.68659275,7834,
SPY,gaussian,4,-12763.02260203,25536.04520405,25570.87570834,7833,
SPY,gaussian,5,-12760.65996641,25533.31993283,25575.11577193,7832,
