dataset,model,p,log_likelihood,aic,bic,n_obs,nu
DIA,gaussian_mixture,1,-11081.01133493,22170.02266987,22197.86402733,7788,
DIA,gaussian_mixture,2,-11080.26597554,22170.53195107,22205.33300585,7787,
DIA,gaussian_mixture,3,-11078.73278735,22169.46557470,22211.22606987,7786,
DIA,gaussian_mixture,4,-11077.05657383,22168.11314765,22216.83282624,7785,
DIA,gaussian_mixture,5,-11074.44341458,22164.88682915,22220.56543414,7784,
IWN,gaussian_mixture,1,-10518.63660436,21045.27320871,21072.11502747,6066,
IWN,gaussian_mixture,2,-10519.64964036,21049.29928072,21082.85072983,6065,
IWN,gaussian_mixture,3,-10517.36356614,21046.72713228,21086.98788184,6064,
IWN,gaussian_mixture,4,-10517.26027482,21048.52054963,21095.49026967,6063,
IWN,gaussian_mixture,5,-10516.09511731,21048.19023462,21101.86859508,6062,
QQQ,gaussian_mixture,1,-12409.33029670,24826.66059340,24853.94516234,6776,
QQQ,gaussian_mixture,2,-12408.00984331,24826.01968662,24860.12465985,6775,
QQQ,gaussian_mixture,3,-12407.70770113,24827.41540227,24868.34048447,6774,
QQQ,gaussian_mixture,4,-12406.23112634,24826.46225268,24874.20714848,6773,
QQQ,gaussian_mixture,5,-12403.62003396,24823.24006793,24877.80448187,6772,
SPY,gaussian_mixture,1,-11682.65176320,23373.30352641,23401.16946153,7836,
SPY,gaussian_mixture,2,-11682.60799101,23375.21598201,23410.04776278,7835,
SPY,gaussian_mixture,3,-11682.25696908,23376.51393816,23418.31130925,7834,
SPY,gaussian_mixture,4,-11678.87604277,23371.75208555,23420.51479155,7833,
SPY,gaussian_mixture,5,-11677.14742415,23370.29484830,23426.02263377,7832,
