dataset,model,p,log_likelihood,aic,bic,n_obs,nu
DIA,student_t,1,-11042.43402309,22088.86804618,22102.78872491,7788,5.00000000
DIA,student_t,2,-11041.68112354,22089.36224709,22110.24287995,7787,5.00000000
DIA,student_t,3,-11040.34465187,22088.68930374,22116.52963385,7786,5.00000000
DIA,student_t,4,-11039.46678834,22088.93357668,22123.73334710,7785,5.00000000
DIA,student_t,5,-11036.68520658,22085.37041316,22127.12936691,7784,5.00000000
IWN,student_t,1,-10517.73325860,21039.46651719,21052.88742657,6066,5.00000000
IWN,student_t,2,-10516.29104383,21038.58208766,21058.71295713,6065,5.00000000
IWN,student_t,3,-10513.92518694,21035.85037387,21062.69087358,6064,5.00000000
IWN,student_t,4,-10512.34263535,21034.68527071,21068.23507074,6063,5.00000000
IWN,student_t,5,-10510.87121928,21033.74243857,21074.00120892,6062,5.00000000
QQQ,student_t,1,-12459.69233226,24923.38466451,24937.02694898,6776,5.00000000
QQQ,student_t,2,-12455.53524942,24917.07049884,24937.53348277,6775,5.00000000
QQQ,student_t,3,-12454.06045123,24916.12090247,24943.40429060,6774,5.00000000
QQQ,student_t,4,-12452.73079897,24915.46159793,24949.56509493,6773,5.00000000
QQQ,student_t,5,-12450.31269257,24912.62538514,24953.54869560,6772,5.00000000
SPY,student_t,1,-11607.06861238,23218.13722477,23232.07019233,7836,5.00000000
SPY,student_t,2,-11605.79596412,23217.59192824,23238.49099670,7835,5.00000000
SPY,student_t,3,-11604.73043332,23217.46086665,23245.32578070,7834,5.00000000
SPY,student_t,4,-11603.22835803,23216.45671605,23251.28722034,7833,5.00000000
SPY,student_t,5,-11600.93301947,23213.86603894,23255.66187804,7832,5.00000000
